beats 	1.0	72
better- 	1.0	24
nicer 	1.0	23
improved 	0.977777777778	44
improving 	0.96	24
easier 	0.925925925926	25
improve 	0.911764705882	31
better 	0.901643457534	14374
best 	0.880681818182	310
improvement 	0.878787878788	29
preferable 	0.862068965517	25
more 	0.780033840948	461
talking 	0.64	16
than 	0.52	13
getting 	0.515151515152	17
happier 	0.470588235294	16
shouldn 	0.418181818182	23
fine 	0.404255319149	38
now 	0.367346938776	18
greater 	0.314285714286	11
good 	0.310945273632	125
bad 	0.283333333333	17
should 	0.275773195876	107
right 	0.167721518987	53
'd 	0.1	14
well 	0.0998043052838	51
you 	0.0909090909091	17
that 	0.0888252148997	31
and 	0.0821052631579	39
in 	0.0814479638009	18
of 	0.0795847750865	23
it 	0.0764331210191	36
. 	0.0703703703704	38
to 	0.0650684931507	38
the 	0.064	48
be 	0.0575342465753	63
we 	0.0573476702509	16
a 	0.0497512437811	20
rather 	0.0442307692308	69
, 	0.0314685314685	27
get 	0.0264840182648	29
make 	0.00809464508095	13
probably 	0.00273933102653	19
might 	0.00259556394526	11
